Post ID,Product Brand,Sentiment Score,battery,camera,screen,performance,design,software,display,speaker,battery life,camera quality
206,Google Pixel,-0.35,,3.0,,,,3.0,,,,
4088,Google Pixel,-0.45,,,,,,,,,3.0,
296,Google Pixel,0.2875,,,,,,,,,,
3558,Google Pixel,-0.545,2.0,,,1.0,,2.0,,,,
339,Google Pixel,0.2,,4.0,,3.0,,,,,3.0,
297,Google Pixel,0.625,,,,,4.0,,,,,
3314,Google Pixel,-0.127,,,,,,,,,,
125,Google Pixel,-0.464,,2.0,,5.0,5.0,1.0,,,3.0,
1833,Google Pixel,0.06,,,,,,,,,0.0,
300,Google Pixel,-0.6,,,,,,,,,,
316,Google Pixel,0.48,4.0,4.0,5.0,4.0,,,,,,
299,Google Pixel,0.013,,,,,,,,,,
3326,Google Pixel,0.0,,,,,,,,,,
4183,Google Pixel,0.143,4.0,3.0,,,,4.0,,,,
4131,Google Pixel,0.2,4.0,2.0,3.0,3.0,,4.0,3.0,3.0,4.0,2.0
295,Google Pixel,-0.2,,,,,,,,,,
4274,Google Pixel,-0.73,,1.0,,,,,,,,
4155,Google Pixel,-0.07,4.0,,,,4.0,,,,4.0,4.0
1835,Google Pixel,0.0,4.0,5.0,3.0,4.0,3.0,2.0,2.0,3.0,4.0,5.0
3291,Google Pixel,-0.3,,,,,2.0,3.0,2.0,,,
3927,Google Pixel,0.55,,,,4.0,,,,,,
3368,Google Pixel,0.364,,,,,,,,,,
4321,Google Pixel,0.44,,,4.0,2.0,4.0,4.0,,,3.0,2.0
187,Google Pixel,-0.3,,4.0,,2.0,,,,,,
324,Google Pixel,-0.165,4.0,2.0,,3.0,3.0,3.0,,,,
11,Google Pixel,0.425,,,4.0,,,,,,,
18,Google Pixel,0.2,,,5.0,,,,,,,
369,Google Pixel,-0.0444,,,,2.0,3.0,3.0,2.0,,,
2011,Google Pixel,0.0,,,,,,,,,,
192,Google Pixel,-0.75,,,,,,,,,,
318,Google Pixel,0.05,3.0,2.0,,,,4.0,,,,
4120,Google Pixel,0.05,,3.0,,,2.0,3.0,,,,
3661,Google Pixel,-0.2317,,2.0,,,,2.0,,,,
1839,Google Pixel,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
247,Google Pixel,-0.4,2.0,,,,,,,,,
3612,Google Pixel,0.1,3.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0
3790,Google Pixel,0.07,,2.0,,2.0,,,,,,
3071,Google Pixel,-0.34,,2.0,,,,,,,,
4158,Google Pixel,0.0833,,3.0,4.0,,,,,,,
1819,Google Pixel,0.49,,5.0,3.0,,5.0,5.0,,,0.0,
2184,Google Pixel,-0.15,2.0,,,5.0,,3.0,,,,
4163,Google Pixel,0.2078,,5.0,4.0,,,4.0,,,4.0,
321,Google Pixel,0.208,3.0,4.0,,,2.0,4.0,,,,
223,Google Pixel,-0.6,,,,,,,,,,
4094,Google Pixel,-0.3,2.0,2.0,,3.0,3.0,3.0,3.0,3.0,,2.0
3370,Google Pixel,0.125,,,,,,,,,,
378,Google Pixel,0.11,3.0,2.0,,,,2.0,,,2.0,
593,Google Pixel,0.098,,,,,,,,,,
3241,Google Pixel,0.2,,,,,,,,,,
3055,Google Pixel,-0.1875,,4.0,,2.0,,,,,,
3365,Google Pixel,-0.125,,,,,,,,,,
242,Google Pixel,-0.645,,,,,,,,,,
3447,Google Pixel,-0.63,,,,,,2.0,,,,
2861,Google Pixel,0.387,4.0,,,,,,,,4.0,
