Product Title,Product Brand,Reviewer Name,Review Date,Review Body
"Google Pixel 9 - Unlocked Android Smartphone with Gemini, Advanced Camera, 24-Hour Battery, and 6.3"" Actua Display - Wintergreen, 256GB",Visit the Google Store,Nick,Reviewed in the United Kingdom on 27 January 2025,"Brand new in original packaging.
Phone feels quality, build is excellent.
Transfer of data from a Samsung s21 was simple.
Camera is excellent. Os is less fussy than Samsung."
"Google Pixel 9 - Unlocked Android Smartphone with Gemini, Advanced Camera, 24-Hour Battery, and 6.3"" Actua Display - Wintergreen, 256GB",Visit the Google Store,Scott Paterson,Reviewed in the United Kingdom on 26 January 2025,First Google phone. Easy transfer from previous phone. Good quality camera. Easy set-up and easy to use.
"Google Pixel 9 - Unlocked Android Smartphone with Gemini, Advanced Camera, 24-Hour Battery, and 6.3"" Actua Display - Wintergreen, 256GB",Visit the Google Store,Kuks,Reviewed in the United Kingdom on 25 December 2024,"Has a sleek design and lightweight, lovely features and great value for money. It is also very easy to use"
"Google Pixel 9 - Unlocked Android Smartphone with Gemini, Advanced Camera, 24-Hour Battery, and 6.3"" Actua Display - Wintergreen, 256GB",Visit the Google Store,Mr. Gary J. Tanner Ba,Reviewed in the United Kingdom on 26 December 2024,Excellent and easy to use
"Google Pixel 9 - Unlocked Android Smartphone with Gemini, Advanced Camera, 24-Hour Battery, and 6.3"" Actua Display - Wintergreen, 256GB",Visit the Google Store,Leyens,Reviewed in the United Kingdom on 21 December 2024,"Phone is amazing . However , color description is not accurate. Porcelain is white , in the photo they have shown a gold like color , but it’s not the gold , it’s white"
"Google Pixel 9 - Unlocked Android Smartphone with Gemini, Advanced Camera, 24-Hour Battery, and 6.3"" Actua Display - Wintergreen, 256GB",Visit the Google Store,Amazon Customer,Reviewed in the United Kingdom on 31 December 2024,Very impressive phone
"Google Pixel 9 - Unlocked Android Smartphone with Gemini, Advanced Camera, 24-Hour Battery, and 6.3"" Actua Display - Wintergreen, 256GB",Visit the Google Store,Ethan Berry,Reviewed in the United Kingdom on 24 November 2024,"Feels great, looks great. Nice and responsive 4 months in and definitely my favorite phone I've ever had over the years"
"Google Pixel 9 - Unlocked Android Smartphone with Gemini, Advanced Camera, 24-Hour Battery, and 6.3"" Actua Display - Wintergreen, 256GB",Visit the Google Store,JARYD,Reviewed in the United Kingdom on 19 January 2025,Five stars from me
"Google Pixel 9 - Unlocked Android Smartphone with Gemini, Advanced Camera, 24-Hour Battery, and 6.3"" Actua Display - Wintergreen, 256GB",Visit the Google Store,Min,Reviewed in Saudi Arabia on 29 January 2025,It's a amazing phone and it's software performance high response and fast from other mobile.
"Google Pixel 9 - Unlocked Android Smartphone with Gemini, Advanced Camera, 24-Hour Battery, and 6.3"" Actua Display - Wintergreen, 256GB",Visit the Google Store,Heiko B.,Reviewed in Germany on 28 January 2025,"Design und Display:

Modernes und elegantes Design: Das Pixel 9 besticht durch sein schlankes und minimalistisches Design. Die hochwertige Verarbeitung und die präzise Passform liegen gut in der Hand.

Hochauflösendes Display: Das Display bietet gestochen scharfe Bilder und lebendige Farben. Die hohe Helligkeit sorgt für eine gute Sichtbarkeit auch bei Sonneneinstrahlung.

Immersive Nutzung: Das nahezu randlose Display bietet ein beeindruckendes Seherlebnis beim Surfen im Internet, beim Anschauen von Videos oder beim Spielen.
Kamera:

Ausgezeichnete Kameraleistung: Die Kamera des Pixel 9 liefert beeindruckende Fotos und Videos, egal ob bei Tageslicht oder bei schlechten Lichtverhältnissen. Die KI-gestützten Funktionen wie der Nachtmodus und der Porträtmodus ermöglichen es, professionelle Aufnahmen zu machen.

Vielseitige Funktionen: Die Kamera bietet eine Vielzahl von Funktionen wie den Magic Eraser, mit dem unerwünschte Objekte aus Fotos entfernt werden können, oder den Cinemathek Mode für beeindruckende Videoaufnahmen.
Schnelle und präzise Fokussierung: Die Kamera fokussiert blitzschnell und erfasst auch schnelle Bewegungen präzise.
Leistung und Software:

Schnelle und flüssige Performance: Dank des leistungsstarken Prozessors läuft das Pixel 9 flüssig und ohne Verzögerungen. Apps starten schnell und Multitasking ist problemlos möglich.
Android in Reinform: Das Pixel 9 bietet Android in seiner reinsten Form, ohne unnötige Bloatware. Dadurch profitierst du von schnellen Updates und einer übersichtlichen Benutzeroberfläche.
Google Assistant: Der Google Assistant ist immer zur Stelle und hilft dir bei deinen täglichen Aufgaben.
Akkulaufzeit:

Langer Akkulaufzeit: Der Akku hält den ganzen Tag durch, selbst bei intensiver Nutzung.
Schnelles Aufladen: Mit dem mitgelieferten Ladegerät ist der Akku schnell wieder aufgeladen.
Fazit:

Das Google Pixel 9 ist ein rundum gelungenes Smartphone, das in vielen Bereichen überzeugt. Die hervorragende Kamera, die flüssige Performance und das pure Android-Erlebnis machen es zu einer echten Empfehlung.
Read more"
"Google Pixel 9 - Unlocked Android Smartphone with Gemini, Advanced Camera, 24-Hour Battery, and 6.3"" Actua Display - Wintergreen, 256GB",Visit the Google Store,Jose Antonio,Reviewed in Spain on 26 December 2024,"Es un terminal premium, con una cámara muy bueno, de batería va bastante bien para que cumpla un día con un uso medio y el procesador sin ser el mejor cumple bastante bien a la hora de la multitarea o los juegos. Es el iPhone de Android, a mí me gusta mucho más que el de la manzanita."
"Google Pixel 9 - Unlocked Android Smartphone with Gemini, Advanced Camera, 24-Hour Battery, and 6.3"" Actua Display - Wintergreen, 256GB",Visit the Google Store,Client d'Amazon,Reviewed in France on 24 December 2024,"Super téléphone, format compact, confortable en main, excellent appareil photo, très bonne autonomie, bonne performance."
